"id_day","id","Sex","DayofWeek","Age","H0","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12","H13","H14","H15","H16","H17","H18","H19","H20","H21","H22","H23","POSTLC1","POSTLC2","POSTLC3","BEST"
101022510,10102251,2,"Friday",70,1,1,1,1,1,1,3,1,1,3,1,3,1,3,1,3,1,3,3,1,1,1,1,1,0.998074838943302,1.66731870199679e-006,0.00192349373799568,1
1010225100,10102251,2,"Saturday",70,1,1,1,1,1,1,3,3,3,1,1,1,3,1,1,3,3,1,1,1,1,1,1,1,0.999115982994227,3.49930436116263e-005,0.000849023962161553,1
10102251000,10102251,2,"Sunday",70,1,1,1,1,1,1,3,1,3,1,2,3,1,3,1,1,3,1,1,1,1,1,1,1,0.990310042946758,0.00219181518438935,0.00749814186885287,1
101022510000,10102251,2,"Monday",70,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2.03328837482102e-005,0.999975295492494,4.37162375725567e-006,2
101022610,10102261,2,"Friday",39,1,1,1,1,1,1,1,3,1,3,1,1,1,3,1,3,1,1,1,2,1,1,1,1,0.989298314791723,0.00440969663571791,0.00629198857255858,1
1010226100,10102261,2,"Saturday",39,1,1,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,0.998735577383657,6.06911224696373e-005,0.00120373149387379,1
10102261000,10102261,2,"Sunday",39,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,1,1,3,1,3,1,1,0.997111352521063,0.000201320050909055,0.00268732742802807,1
101022610000,10102261,2,"Monday",39,1,1,1,1,1,1,2,2,1,2,1,1,1,1,3,1,1,2,2,1,3,1,3,1,0.00306520194835958,0.991536985060386,0.00539781299125412,2
101030710,10103071,2,"Friday",47,1,1,1,1,1,1,1,1,3,1,3,3,1,3,1,3,1,1,1,3,1,3,1,1,0.998437397219869,3.84098897330779e-006,0.00155876179115755,1
1010307100,10103071,2,"Saturday",47,1,1,1,1,1,1,1,1,3,1,3,3,1,3,1,3,1,1,2,2,3,1,1,1,0.975204912110301,0.000606001207752806,0.0241890866819462,1
10103071000,10103071,2,"Sunday",47,1,1,1,1,1,1,1,1,3,3,1,1,3,1,3,1,3,1,1,1,3,3,1,1,0.995020206932073,4.07022042285608e-006,0.00497572284750428,1
101030710000,10103071,2,"Monday",47,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1.18783529706286e-009,0.99998751559493,1.24832172348819e-005,2
101031110,10103111,2,"Saturday",27,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,3,1,3,1,1,1,1,1,0.997695996319181,7.45509387010027e-005,0.00222945274211807,1
1010311100,10103111,2,"Sunday",27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,0.980309312066787,0.0160149483970917,0.00367573953612172,1
10103111000,10103111,2,"Monday",27,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,3,1,3,1,0.986231954609343,7.28056659505765e-005,0.0136952397247062,1
101031110000,10103111,2,"Tuesday",27,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,3,1,0.358033177826354,0.635759015998297,0.00620780617534907,2
101031610,10103161,2,"Saturday",46,1,1,1,1,1,1,1,1,1,3,3,1,3,1,3,1,1,1,3,1,3,3,1,1,0.995798932716921,1.99041233972238e-006,0.00419907687073961,1
1010316100,10103161,2,"Sunday",46,1,1,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,3,1,2,1,1,1,3,0.936751564041358,6.09164243824489e-005,0.0631875195342592,1
10103161000,10103161,2,"Monday",46,1,1,1,1,1,1,1,1,1,3,3,1,1,3,1,1,3,1,3,1,2,1,3,1,0.930633611403441,6.37290790207123e-005,0.0693026595175378,1
101031610000,10103161,2,"Tuesday",46,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,3,1,1,2,1,1,2,1,7.47569749573534e-005,0.998362718334554,0.00156252469048898,2
101031810,10103181,2,"Friday",27,1,1,1,1,1,1,1,1,1,3,3,1,3,1,1,3,1,1,1,3,3,1,3,1,0.989905337139128,3.98766803173737e-006,0.0100906751928402,1
1010318100,10103181,2,"Saturday",27,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,2,1,3,1,1,1,1,1,0.986136532474148,0.0035367486295121,0.0103267188963397,1
10103181000,10103181,2,"Sunday",27,1,1,1,1,1,1,3,3,1,1,1,1,1,3,1,1,3,1,1,1,2,1,1,1,0.979608611083368,0.00362574014679,0.0167656487698425,1
101031810000,10103181,2,"Monday",27,1,1,1,1,1,1,1,3,1,2,1,1,1,1,3,1,1,3,1,1,2,1,3,1,0.596495230959792,0.0442819151347043,0.359222853905504,1
101032110,10103211,2,"Saturday",35,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,3,1,0.991724950132447,6.56925996412986e-005,0.00820935726791147,1
1010321100,10103211,2,"Sunday",35,1,1,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,3,1,3,1,0.976336504241265,4.65581140020011e-006,0.0236588399473351,1
10103211000,10103211,2,"Monday",35,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,3,1,3,1,1,1,1,0.997306383296596,0.000549107451892089,0.00214450925151169,1
101032110000,10103211,2,"Tuesday",35,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0.00164453790584309,0.998295802053847,5.96600403098922e-005,2
101040110,10104011,1,"Friday",52,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,3,3,3,1,1,1,2,1,1,0.98140358474468,4.54538787109722e-005,0.0185509613766091,1
1010401100,10104011,1,"Saturday",52,1,1,1,1,1,1,1,1,3,3,1,1,3,1,1,1,1,3,3,1,1,1,1,1,0.998597212466316,4.27517140901657e-005,0.00136003581959384,1
10104011000,10104011,1,"Sunday",52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,3,1,2,1,0.800246353087668,0.00219491138361893,0.197558735528713,1
101040110000,10104011,1,"Monday",52,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,2,1,2,1,1,1,1,3,1,0.00286832212449073,0.996639160030413,0.000492517845096099,2
101040710,10104071,2,"Friday",65,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,0.755808703814046,0.239632836629656,0.00455845955629772,1
1010407100,10104071,2,"Saturday",65,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,3,1,1,3,1,1,0.998302822021386,0.000302710485389396,0.00139446749322448,1
10104071000,10104071,2,"Sunday",65,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,0.829095688593665,0.158173137973978,0.0127311734323564,1
101040710000,10104071,2,"Monday",65,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,0.000163137173958285,0.999621063087344,0.000215799738697812,2
101042610,10104261,2,"Friday",39,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,3,2,1,1,3,3,1,1,1,0.992854607284156,8.67066618830164e-005,0.00705868605396113,1
1010426100,10104261,2,"Saturday",39,1,1,1,1,1,1,1,1,2,1,1,3,1,3,3,1,1,1,3,3,1,3,1,1,0.992266311806693,8.57353167445888e-005,0.00764795287656221,1
10104261000,10104261,2,"Sunday",39,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,2,1,1,1,1,3,1,1,0.925211619477379,0.063131206013454,0.0116571745091669,1
101042610000,10104261,2,"Monday",39,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,2,1,1,1,1,1,0.0082077496457751,0.990249340827641,0.00154290952658407,2
101050110,10105011,1,"Saturday",32,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,0.957594334612304,0.0376941472191354,0.00471151816856031,1
1010501100,10105011,1,"Sunday",32,1,1,1,1,1,1,1,2,2,1,3,1,1,3,3,3,1,3,1,1,1,3,1,1,0.986650521956789,0.00291668324023301,0.0104327948029777,1
10105011000,10105011,1,"Monday",32,1,1,1,1,1,1,1,2,1,3,1,2,1,1,1,1,1,1,1,3,1,3,1,1,0.524208467758171,0.4699769710469,0.00581456119492836,1
101050110000,10105011,1,"Tuesday",32,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,2,2,1,1,2,1,2,1,1,1.32747247346277e-005,0.999723490165256,0.000263235110009893,2
101050710,10105071,1,"Saturday",26,1,1,1,1,3,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,3,3,1,1,0.993972147609828,2.0379396456649e-009,0.00602785035223265,1
1010507100,10105071,1,"Sunday",26,1,1,1,1,1,3,1,1,1,3,3,1,1,3,1,1,1,3,1,3,1,1,1,1,0.995067937865727,1.00014041939676e-005,0.00492206073007902,1
