"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4"
"GAMMA",1,,,0.432425399434254,0.246778506392135,0.0459265705362904,0.274869523637321
"RHO",1,"H0",1,0.983045335371604,0.983865210850275,0.774906086733622,0.987233298919607
"RHO",1,"H1",1,0.994187661581842,0.993109781687764,0.866558264764857,0.996019110675327
"RHO",1,"H2",1,0.996380153789219,0.995081773993279,0.922904347924167,0.996244489520824
"RHO",1,"H3",1,0.994745592207842,0.994756600584941,0.946170128203282,0.997598109712757
"RHO",1,"H4",1,0.993406058335407,0.994692552896063,0.965118730891283,0.991990449197096
"RHO",1,"H5",1,0.986814658024429,0.99157999830877,0.970916903555522,0.982936418202007
"RHO",1,"H6",1,0.88138855516232,0.886938841765474,0.874469776875665,0.842933169617499
"RHO",1,"H7",1,0.693690940730322,0.698126650002082,0.78202886616544,0.629680849236325
"RHO",1,"H8",1,0.634803817917903,0.656083467057225,0.689787014714891,0.582899759014664
"RHO",1,"H9",1,0.666091606619229,0.675646723745317,0.617036888112516,0.656656684402194
"RHO",1,"H10",1,0.629118288102371,0.658611484017839,0.604280627520431,0.628082662706618
"RHO",1,"H11",1,0.665248815974973,0.753844515315833,0.654123606423548,0.81220164201932
"RHO",1,"H12",1,0.970382189844172,0.648618521721229,0.614201614008791,2.14655522443022e-034
"RHO",1,"H13",1,0.300982321586685,0.554344250052204,0.549880656405835,0.797205935937584
"RHO",1,"H14",1,0.750780292034821,0.763828021373537,0.561645692927656,0.740747064839827
"RHO",1,"H15",1,0.687745144688201,0.702014808953574,0.672554272655775,0.649972041856767
"RHO",1,"H16",1,0.705996783051021,0.732962978544887,0.605824953398818,0.68545918072288
"RHO",1,"H17",1,0.714877469309892,0.736530886709559,0.614436805028096,0.637126562643622
"RHO",1,"H18",1,0.572980673679746,0.642769012093937,0.599676845256898,0.569866656146564
"RHO",1,"H19",1,0.622666882800493,0.685916505139786,0.527005818843277,0.633018629527765
"RHO",1,"H20",1,0.645946622886095,0.687934743848825,0.396967338237932,0.610515118236253
"RHO",1,"H21",1,0.646644583266586,0.714950593305468,0.440460351147956,0.65694853640259
"RHO",1,"H22",1,0.766343911319153,0.807046605934731,0.338238801486164,0.782994356062919
"RHO",1,"H23",1,0.932639061124177,0.941541269436226,0.617853418428355,0.948295663862549
"RHO",1,"H0",2,0.000964215478381973,0.0129519497343212,0.0857595509672682,0.000164631045979031
"RHO",1,"H1",2,0,0.00564262087726172,0.0334196365381056,0.00019767159515773
"RHO",1,"H2",2,2.84600172963356e-077,0.00337297292458717,0.0263432725734369,0
"RHO",1,"H3",2,2.01038147844789e-005,0.00402377417974169,0.0115158177311958,7.83680046218691e-005
"RHO",1,"H4",2,2.58488471915193e-005,0.00432512111452311,0.00731255711664318,0.000501081658556764
"RHO",1,"H5",2,0.000382272959530738,0.00610812167757953,0.0036668732233911,0.000880466693954637
"RHO",1,"H6",2,0.0126472891158891,0.0899124620590787,0.0241608788632926,0.0164489161657157
"RHO",1,"H7",2,0.0141132966808092,0.235791769565517,0.0177482834303469,0.0153054242663203
"RHO",1,"H8",2,0.018807424182959,0.27064331044012,0.0457295321600153,0.02589612341289
"RHO",1,"H9",2,0.0127216319133064,0.253454416020578,0.0499537802912215,0.0118588136077745
"RHO",1,"H10",2,0.0195062515887498,0.263191198512891,0.0511653195024477,0.0140847926588112
"RHO",1,"H11",2,0.0183832185032815,0.19070984087172,0.0334923659235367,0.00928289311514832
"RHO",1,"H12",2,0.00368740925568411,0.306833449244509,0.0314194736233249,0.0863022302715512
"RHO",1,"H13",2,0.061456266231022,0.393045876037762,0.0620799183475589,0.0143869603428563
"RHO",1,"H14",2,0.0177531734094164,0.188866040873244,0.0623113833567564,0.0145440528153855
"RHO",1,"H15",2,0.0158347584505999,0.228921009524753,0.0485660973426319,0.0200062594045401
"RHO",1,"H16",2,0.0211309034328178,0.211125425309762,0.0715698464880668,0.0248478636403116
"RHO",1,"H17",2,0.033606639032738,0.232054138209481,0.0834574427339741,0.0465582848029429
"RHO",1,"H18",2,0.0585540495136,0.321765449629993,0.119269245943812,0.0542240343753431
"RHO",1,"H19",2,0.0585487908469284,0.269588081436543,0.180603038178997,0.055611929181605
"RHO",1,"H20",2,0.0496482913703784,0.261086317538199,0.289710977027364,0.0573822594706836
"RHO",1,"H21",2,0.0472696611861987,0.232114807453316,0.330997587566581,0.0481397849586786
"RHO",1,"H22",2,0.0266937811991723,0.152599019696931,0.353662311090574,0.0215080603050401
"RHO",1,"H23",2,0.00486779432774403,0.0478396241054673,0.190945015397795,0.00248463825261915
"RHO",1,"H0",3,0.0159904491500139,0.00318283941540416,0.13933436229911,0.0126020700344144
"RHO",1,"H1",3,0.00581233841815751,0.00124759743497449,0.100022098697037,0.00378321772951565
"RHO",1,"H2",3,0.00361984621078085,0.00154525308213346,0.0507523795023966,0.00375551047917588
"RHO",1,"H3",3,0.00523430397737363,0.00121962523531712,0.0423140540655222,0.00232352228262093
"RHO",1,"H4",3,0.00656809281740132,0.000982325989413573,0.0275687119920733,0.00750846914434743
"RHO",1,"H5",3,0.01280306901604,0.00231188001365109,0.0254162232210869,0.0161831151040379
"RHO",1,"H6",3,0.105964155721791,0.0231486961754471,0.101369344261042,0.140617914216785
"RHO",1,"H7",3,0.292195762588869,0.0660815804324008,0.200222850404213,0.355013726497354
"RHO",1,"H8",3,0.346388757899138,0.0732732225026553,0.264483453125094,0.391204117572446
"RHO",1,"H9",3,0.321186761467465,0.070898860234105,0.333009331596263,0.331484501990031
