"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5","ESTLC6","ESTLC7"
"GAMMA",1,,,0.110265599413567,0.10906212839781,0.0247156909197874,0.218004931923377,0.193866750046526,0.191698757731595,0.152386141567338
"RHO",1,"H0",1,0.986856855087319,0.974102358218337,0.5538773528303,0.991045517125214,0.979801366748048,0.981011150499436,0.98991516649249
"RHO",1,"H1",1,0.993691440351758,0.992532315074957,0.733413505616622,0.997150977300258,0.989265217298032,0.996401887162639,0.99687250217017
"RHO",1,"H2",1,0.996721944794508,0.991671706611288,0.847472550269526,0.996991661356626,0.996338475015923,0.994984019846522,0.99795269880741
"RHO",1,"H3",1,0.992941772905701,0.994645353353752,0.901353928357193,0.997440479084954,0.991215308125156,0.997833584917847,0.997472325048013
"RHO",1,"H4",1,0.991358016001598,0.994501657759408,0.937381394223469,0.99453526344066,0.991928974950963,0.995244184051949,0.991074481064736
"RHO",1,"H5",1,0.98769446233362,0.985560588965893,0.957808473124133,0.985120127739626,0.990201178900539,0.990465598362229,0.980697458554721
"RHO",1,"H6",1,0.877931784446013,0.902675125857129,0.879591287019452,0.839769376529063,0.897728562270305,0.887753626404782,0.815520064653602
"RHO",1,"H7",1,0.71841144676024,0.777489255416064,0.826113756062459,0.621806517931293,0.682738752646322,0.673518352291355,0.633404733589647
"RHO",1,"H8",1,0.597419017297053,0.630380157473621,0.710366762786754,0.599525779713206,0.68062354611007,0.608227027953699,0.599599820303748
"RHO",1,"H9",1,0.654175837625748,0.613659760505878,0.684912012917923,0.708971761870702,0.690818728575678,0.671503809780775,0.566979159537963
"RHO",1,"H10",1,0.655293869286196,0.653735420422772,0.611849531955288,0.631482540798394,0.629994437032678,0.604764095232165,0.628280846361419
"RHO",1,"H11",1,0.683181681644761,0.650209336582198,0.707115218816799,0.860490527547359,0.720819148089479,0.700574592848662,0.642058845900346
"RHO",1,"H12",1,0.787316214661413,0.660548565693141,0.610425577332233,7.6054717602398e-027,0.867373118310724,0.838407471774467,0.635910590063721
"RHO",1,"H13",1,0.259563715274266,0.864092470641487,0.51049421246177,0.964075111202837,0.247384638460343,0.182794358886486,0.473698912300119
"RHO",1,"H14",1,0.838625871867202,1.2424527031346e-025,0.669156519190165,0.83840920828049,0.902445780482282,0.867332028821888,0.68698667229961
"RHO",1,"H15",1,0.66585255862796,0.897228588322101,0.662334728221318,0.635185786276688,0.722667351318995,0.61806463020372,0.598454574270834
"RHO",1,"H16",1,0.88422966888776,0.739737058331106,0.590637677529582,0.710299511307829,0.560990602220717,0.735269157743678,0.648782914468742
"RHO",1,"H17",1,1.36924934669314e-011,0.673616327854812,0.596222649675581,0.641496954589476,0.910369976479983,0.909491358476475,0.698503560574664
"RHO",1,"H18",1,0.954567645997997,0.579514866730262,0.56404467401219,0.571018711784977,0.94572982575183,1.05216883718723e-023,0.571365724942522
"RHO",1,"H19",1,0.791796109611101,0.617270885658795,0.553747479830948,0.667023902407026,0.319702143370279,0.834855486896051,0.560254264643
"RHO",1,"H20",1,0.60263858785283,0.555441454393671,0.381129095921318,0.638723274488594,0.68215898646351,0.683321772580562,0.52248282792713
"RHO",1,"H21",1,0.669082537533362,0.65797844033373,0.372355233385368,0.673401659981351,0.655944679894633,0.637948383045198,0.589606402570207
"RHO",1,"H22",1,0.765959762373932,0.731694920768002,0.275945282449103,0.805520484582446,0.784608019751193,0.758907464978046,0.704700306396508
"RHO",1,"H23",1,0.937386773926047,0.905426702169526,0.360319866811619,0.96317334099789,0.938177276302008,0.943488499064461,0.900523124699198
"RHO",1,"H0",2,0.00328307167133466,0.00900626307559231,0.345429435476806,0.00397143227325894,0.00955126674463384,0.00606554399868992,0.00725431905960836
"RHO",1,"H1",2,3.99375494306583e-015,0.00109535187488073,0.188954876855121,0.00114367106083002,0.00419007022586993,1.6259902399517e-020,0.0018075606258475
"RHO",1,"H2",2,0.000549727269973042,0.00119538680854218,0.10715605680156,0.000992126970285222,0.000877740898249123,0.00164955588167492,0.000610822276851073
"RHO",1,"H3",2,0.00110341095952711,0.0018308522478342,0.0772194823442498,0.000361125465905436,0.0022095287050337,0.000869046471014675,0.00158469286995021
"RHO",1,"H4",2,0.000723275368997784,0.000387059726099913,0.0485583948579523,0.00113054247325999,0.00125818427460848,0.000160437738400125,0.00747050130425026
"RHO",1,"H5",2,0.00293710644058164,0.00457753474218632,0.0220735522419918,0.00439004949798177,0.00153432965627286,0.00104875075399431,0.0149709855585878
"RHO",1,"H6",2,0.0388063567871162,0.0340476415456369,0.05461206923531,0.0443638680127237,0.0288347319099389,0.0339299146608694,0.131706982718433
"RHO",1,"H7",2,0.0636281445643412,0.0540387510417709,0.058749131713354,0.0767853088411371,0.0752234613631576,0.0816997573369846,0.217927676149637
"RHO",1,"H8",2,0.108885580098557,0.0981109185178988,0.147095241757305,0.0981233084406245,0.0758858212188203,0.0945906395145098,0.243430253334978
"RHO",1,"H9",2,0.0911693511246279,0.116190443781893,0.137119705697618,0.0845215656206419,0.0705149905847232,0.0775757581668146,0.290211761151052
"RHO",1,"H10",2,0.118974619752041,0.115716824258551,0.181936205742532,0.141160936989787,0.130778766358395,0.139152503424727,0.268429565863002
"RHO",1,"H11",2,0.120109878566145,0.13199556208646,0.12160814653518,0.0422168062122848,0.0972360132912765,0.103720349199163,0.275554986185555
"RHO",1,"H12",2,0.104049493236283,0.14176932914181,0.203835797375585,0.572532890664144,0.0533578138975824,0.0722979969797726,0.267976909836981
