"","CB","Slot3g","MeanEnergy","sdEnergy","MeanCarb","sdCarb","MeanSugar","sdSugar","MeanStarch","sdStarch","meanFibre","sdFibre"
"1",1,"Before 12 noon",1012.10970254967,976.816413870648,29.8829472985805,28.4938697832239,13.2503703941504,15.1874971998236,16.6261230944657,18.9478486294477,1.77472291321745,2.31559813812495
"2",1,"Between 12 noon to 8 pm",1949.04811159672,1563.57936034592,49.4582593092584,40.7383444600619,18.1135021389119,19.0184977330164,31.3100660718858,31.5743543283037,3.62118603556446,3.55523472540308
"3",1,"After 8 pm",1317.12737449899,1506.47900601035,29.0849311788454,34.4716257908007,14.8511546157725,18.748207648107,14.2234907423206,25.0759153363552,1.58502794749067,2.77634016083675
"4",2,"Before 12 noon",1246.04171530787,962.576145499983,43.4957596170626,30.0745303538831,20.6031885122118,17.3268933912752,22.8826236304532,20.2519402990593,2.19527576898164,2.3462115799386
"5",2,"Between 12 noon to 8 pm",2062.38149641462,1542.65573232971,58.797717567057,44.0385633095072,22.0397159639714,22.0223303631409,36.7293862767269,34.0617854302455,3.76407368400692,3.53293471952966
"6",2,"After 8 pm",1598.82318407916,1666.50224454563,43.9558698315046,45.4769904560013,22.2962113973734,27.7750331828079,21.6432857407202,32.2811857271383,2.15939472000299,3.16960966509503
"7",3,"Before 12 noon",957.038193343147,785.594372925526,36.5899038534811,27.8021357628843,19.1020712290036,15.948319469452,17.4837556715792,17.8067146843952,1.91160706189851,2.18670240644033
"8",3,"Between 12 noon to 8 pm",1878.05662997247,1433.43537048626,53.0175592007434,40.0686414107414,20.5531776206213,19.0713234206048,32.4373916280907,31.0219927961603,3.76977632686726,3.54272655319205
"9",3,"After 8 pm",1054.18013785017,1260.8048893086,30.0155184737768,33.2494728525081,16.5722183340959,17.7904122065299,13.4349595674415,24.3476429413755,1.51204383906933,2.58605184661126
