"","CW_new","TimeSlot","MeanEnergy","sdEnergy","MeanCarb","sdCarb","MeanSugar","sdSugar","MeanStarch","sdStarch","meanFibre","sdFibre"
"1",1,"[6,9)",972.147079838895,748.532677151894,37.1173464081698,27.5092015972486,18.7245625951716,15.9041113404545,18.3896887664637,17.3145597906123,1.99655974766828,2.19562166579777
"2",1,"[9,12)",1083.36360313461,941.797449929595,38.9020075548398,30.3388701142724,20.2538184433652,17.4223182314762,18.6409990380002,19.8579093019842,1.93980968145378,2.25162192642665
"3",1,"[12,14)",1871.70386187909,1217.53535888105,53.6827962999982,34.3911758928135,20.3389212918391,17.9362142435253,33.318634216656,26.4152679696976,3.72795946418051,3.06787193889926
"4",1,"[14,17)",1302.62995243327,1368.2061983443,39.1936149126831,38.6935979044391,18.8918050596731,20.1480050316415,20.2861464500971,27.9547948297335,2.17853720496866,2.95003676374737
"5",1,"[17,20)",2493.99068526359,1552.45981666344,66.1038077789641,44.1183253707644,22.6912335481236,21.2052252300741,43.371061693843,35.260227117048,5.03630426964977,3.90200052839508
"6",1,"[20,22)",1464.33440886502,1536.34355975917,37.8933820071881,39.5722443889556,18.4086419605583,20.4249316018755,19.468084768225,30.332336251505,2.13641282340632,3.2189437355619
"7",1,"[22, 6)",1035.70340034314,1290.15692948246,29.0547743774265,35.0036471572079,17.372667294116,23.0414956025201,11.6761401281276,22.4396578770795,1.15524854577949,2.11891176273753
"8",2,"[6,9)",1030.73333849599,808.550940083254,37.0263941540232,27.7372782249563,17.2488582025435,15.3849487632445,19.7728211163034,18.0294777173347,2.09814574850574,2.43383250561684
"9",2,"[9,12)",952.498112194962,986.65374232696,27.9345044556387,27.355295014776,12.9049606247823,14.4439064012473,15.0237042058114,18.8253645717848,1.55061733616409,2.00180727834621
"10",2,"[12,14)",1951.28919565078,1261.45547856543,56.0969511671032,36.9177657118713,20.6985191887829,19.9981870614738,35.3673301604155,27.035441039364,3.99131794125913,3.15129857417519
"11",2,"[14,17)",1199.16312418337,1273.67235982674,35.040855724216,35.7565526268156,16.6599681869561,18.4367442232788,18.3647866106767,26.3560522336127,2.06943007608121,2.73742498417363
"12",2,"[17,20)",2480.82624524482,1606.47627984216,67.3810517269894,46.3374421029943,22.6329200481938,21.0022652535034,44.7105747719155,37.0878902865432,5.05501770483016,3.96885013470456
"13",2,"[20,22)",1379.39356056296,1569.89990778564,37.5999733773274,41.6433688210796,18.4884534873671,22.4699944997798,19.097869575701,30.6154250421423,2.08622107349245,3.07018479625552
"14",2,"[22, 6)",1106.88177280647,1452.13708983076,33.0241819193614,40.8382576261264,19.1839677661627,23.8012566229281,13.8341667571549,26.3948364959038,1.4015754229798,2.57088272621842
"15",3,"[6,9)",943.676906597925,765.244375060899,35.0124187668836,27.9585786859355,16.9481291231762,15.5311441275612,18.0597952031969,17.7324439804735,1.96915060043179,2.32619216867575
"16",3,"[9,12)",1110.29909169069,1012.59168581707,34.545577042304,29.4995671003723,16.3511647429204,16.4124976060408,18.1857395092339,19.7899160664023,1.84812509084162,2.2379905761243
"17",3,"[12,14)",1932.84641274826,1246.97578536804,53.7672730378777,35.8000764068097,19.5878567213634,18.8046106470642,34.149411428184,26.8729085928184,3.6457058765561,2.99208792160621
"18",3,"[14,17)",1153.21251907912,1316.32541287077,33.3203343344071,35.1009553631822,17.0239491252136,18.9255852284596,16.2806430055604,25.1644643708809,1.91442060368392,2.80040426852824
"19",3,"[17,20)",2644.15684636534,1600.0135634527,66.9837942838702,44.6038928704463,21.9211695735729,20.9049888434598,45.0183826822492,35.1496151102978,5.08956110377443,3.83251053122522
"20",3,"[20,22)",1362.77494994392,1506.41805731123,33.7128718093806,37.0672635783629,17.4290169338542,20.5389451200784,16.2717580671844,27.2338191072366,1.81531442455103,2.86252329249511
"21",3,"[22, 6)",1041.8910096857,1317.3539386596,26.393375754386,32.5040845382789,15.5011749531668,21.6466794482472,10.8884261186441,19.8578846800069,1.06488001118049,2.16768101340322
