N OF CLASSES,N OF FREE PARAMETERS,Loglikelihood,AIC,BIC,ABIC,ENTROPY
2,6,-424531.704,849075.408,849115.758,849096.692,0.559
3,12,-424236.023,848496.046,848576.747,848538.614,0.583
4,20,-422343.32,844726.639,844861.14,844797.585,0.649
5,30,-422337.378,844734.757,844936.507,844841.175,0.635
