"","CB","TimeSlot","MeanEnergy","sdEnergy","MeanCarb","sdCarb","MeanSugar","sdSugar","MeanStarch","sdStarch","meanFibre","sdFibre"
"1",1,"[6,9)",928.267079249507,897.804733576765,28.0574873943809,27.5823193481489,12.2500645580314,14.4306828349966,15.8020652961742,17.8809815979209,1.70516471408875,2.31980948198972
"2",1,"[9,12)",1095.84528620674,1043.18616659872,31.7060766867616,29.2651099154782,14.2493991664625,15.8458585000217,17.449128840124,19.9241552340098,1.84419230924676,2.30950569452998
"3",1,"[12,14)",1910.80806535578,1298.28333957915,50.4020082603133,35.5769237557865,17.6529771704588,17.9500862168112,32.7174202989552,27.2465389660297,3.6757722052518,3.09558542257526
"4",1,"[14,17)",1228.11207639979,1382.52443346933,32.7362221585753,35.2224330645674,15.6383367064797,18.2646747583886,17.0798969383032,25.5025450109913,2.02438421801548,2.85409910014618
"5",1,"[17,20)",2576.4606321477,1658.44141401549,62.3502646991144,44.3279568452021,20.5662476828222,20.2363597391948,41.7327994315884,35.1589330671219,4.88448922616125,3.92631396956681
"6",1,"[20,22)",1476.92346855401,1559.37892634346,32.6533833021056,36.5054125953545,15.6765083370374,18.4109643782511,16.9628099689937,27.8094952282169,1.94082850493508,3.01029989570345
"7",1,"[22, 6)",1034.20869609735,1363.03149403843,22.7669935307285,29.5066949749697,13.3898674334105,19.247813172208,9.37353129923372,18.3363939915313,0.955083742145594,2.16620510942439
"8",2,"[6,9)",1055.19793739249,845.73904053759,39.0722149246005,28.8827986024351,18.5677390060804,15.7512156726757,20.4981045506917,19.7632314316862,1.98185710931903,2.31363859181802
"9",2,"[9,12)",1315.73500800656,992.825497184881,45.1111719631448,30.340514953977,21.3465042218133,17.8112675780806,23.7534143263129,20.3598920829209,2.27321307077736,2.35339876538856
"10",2,"[12,14)",1864.43939302585,1267.21515363553,55.0491679408446,37.2347200746014,20.9294460908891,20.2059938630659,34.0939983449296,27.8842732572611,3.36904354211097,2.99614439147759
"11",2,"[14,17)",1644.12136510541,1494.71959683757,49.0416406101154,42.4969060491389,21.5726612689407,22.2931698295439,27.4456761587392,31.9447972230038,2.79282005868832,3.25299220978982
"12",2,"[17,20)",2567.85206857142,1655.65197382427,69.8320841450401,48.1433864462551,23.3781076552829,23.2231350901479,46.4186125385473,37.899495529144,4.88160145385714,3.86175010356442
"13",2,"[20,22)",1734.02056744439,1707.34979115014,46.5871679008581,45.6788472376071,21.9828021386706,26.4602896846494,24.5839318757788,34.2611834066597,2.48767303965278,3.40665161313534
"14",2,"[22, 6)",1393.96942619542,1581.05733556488,39.9688747861706,44.8848848726279,22.7710953248779,29.655107098517,17.1875603680947,28.4576303356841,1.66198089631717,2.69759803006303
"15",3,"[6,9)",992.642538516107,671.317367823922,40.5779762766593,26.5355639191766,20.617316147888,15.4708928555407,19.9578068408089,16.9222372643528,2.20153939783578,2.28903207033019
"16",3,"[9,12)",917.04548405403,895.11034500936,32.1102871025111,28.5029827665574,17.4000669020493,16.3019025964685,14.7047687615056,18.3581094240897,1.58593951856003,2.01674780136046
"17",3,"[12,14)",1941.49525882646,1187.27718174123,56.0392481567802,34.4048074020279,21.1087441336224,18.2839897921903,34.9024977517201,25.7957421646268,3.98286073488296,3.04013571218171
"18",3,"[14,17)",1011.15679763154,1141.4432930532,31.8399865165407,33.1869366400353,17.1051117493568,18.1106019218202,14.7245597147642,23.1811826374812,1.70713595147827,2.54267949889794
"19",3,"[17,20)",2536.64185183057,1494.31665541363,67.7023876179961,42.7765055758883,22.883473844038,20.1464968074955,44.7790613842182,34.349369113742,5.2775010528069,3.86141709567245
"20",3,"[20,22)",1180.51279447847,1364.43714079213,32.782602198637,35.6130387467823,17.384993167925,18.4145099768236,15.3865497613395,26.5514557881458,1.7762573406964,2.85408432898858
"21",3,"[22, 6)",746.339025983888,890.72784304589,23.272826970072,25.398323174369,14.5916891881042,16.0000838987248,8.67942199520055,16.9621184530629,0.868221566335276,1.59728482140033
