Number of latent classes,Number of parameters estimated,G^2,df,AIC,BIC,\ell
1,72,92165.61,6081,198948.3,199432.5,-99402.14
2,145,90364.49,6008,197293.2,198268.2,-98501.58
3,218,89311.03,5935,196385.7,197851.7,-97974.85
4,291,88500.33,5862,195721,197677.9,-97569.5
5,364,87947.21,5789,195313.9,197761.7,-97292.94
6,437,87351.06,5716,194863.7,197802.4,-96994.87
7,510,86823.89,5643,194482.6,197912.2,-96731.28
8,583,86305.78,5570,194110.5,198031,-96472.23
