-0.96000	0.00705	0.03567	0.01030	
-0.95000	0.00440	0.01590	0.00534	
-0.94000	0.00270	0.01462	0.00291	
-0.93000	0.00359	0.01222	0.00328	
-0.92000	0.00508	0.01641	0.00626	
-0.91000	0.00679	0.02540	0.01147	
-0.90000	0.06414	0.13324	0.09247	
-0.89000	0.16960	0.34469	0.24913	
-0.88000	0.22006	0.37848	0.28818	
-0.87000	0.18218	0.32671	0.22342	
-0.86000	0.16818	0.36369	0.23623	
-0.85000	0.10849	0.30034	0.17735	
-0.84000	0.14621	0.25153	0.19649	
-0.83000	0.18745	0.31832	0.23351	
-0.82000	0.10013	0.25012	0.14948	
-0.81000	0.11915	0.33892	0.21030	
-0.80000	0.11293	0.29495	0.17865	
-0.79000	0.10484	0.22291	0.14509	
-0.78000	0.12898	0.25483	0.15125	
-0.77000	0.10714	0.24361	0.14879	
-0.76000	0.10393	0.27541	0.16546	
-0.75000	0.12682	0.30097	0.18029	
-0.74000	0.07502	0.24115	0.12247	
-0.73000	0.02047	0.11506	0.03855	
-0.72000	0.00741	0.03979	0.01094	
-0.71000	0.00617	0.01857	0.00515	
-0.70000	0.00157	0.01717	0.00452	
-0.69000	0.00409	0.00933	0.00339	
-0.68000	0.00285	0.01611	0.00452	
-0.67000	0.00484	0.01938	0.01029	
-0.66000	0.05404	0.15439	0.08276	
-0.65000	0.15837	0.34019	0.24484	
-0.64000	0.20496	0.36658	0.27934	
-0.63000	0.17559	0.34602	0.23593	
-0.62000	0.15487	0.38167	0.23180	
-0.61000	0.09733	0.31896	0.17092	
-0.60000	0.14550	0.26066	0.18955	
-0.59000	0.18582	0.33929	0.24296	
-0.58000	0.08828	0.28788	0.13725	
-0.57000	0.11916	0.32128	0.20127	
-0.56000	0.10051	0.31733	0.17642	
-0.55000	0.09523	0.17687	0.12431	
-0.54000	0.12116	0.26000	0.15709	
-0.53000	0.10380	0.25381	0.14041	
-0.52000	0.09637	0.29343	0.16258	
-0.51000	0.11563	0.24008	0.16676	
-0.50000	0.07383	0.24576	0.12358	
-0.49000	0.01684	0.10505	0.03555	
-0.48000	0.00765	0.03110	0.01352	
-0.47000	0.00541	0.01216	0.00556	
-0.46000	0.00208	0.01721	0.00424	
-0.45000	0.00309	0.00665	0.00344	
-0.44000	0.00417	0.00563	0.00568	
-0.43000	0.00421	0.03250	0.00844	
-0.42000	0.05308	0.16061	0.08277	
-0.41000	0.16667	0.33085	0.24017	
-0.40000	0.19449	0.36974	0.26925	
-0.39000	0.17696	0.38032	0.23448	
-0.38000	0.15439	0.36631	0.21962	
-0.37000	0.09574	0.30266	0.17170	
-0.36000	0.13105	0.29394	0.18092	
-0.35000	0.18101	0.32048	0.22491	
-0.34000	0.07787	0.28615	0.13597	
-0.33000	0.09721	0.32240	0.19308	
-0.32000	0.09567	0.29514	0.16519	
-0.31000	0.08562	0.20351	0.12762	
-0.30000	0.11925	0.22436	0.15005	
-0.29000	0.10178	0.23179	0.14161	
-0.28000	0.10881	0.26798	0.17382	
-0.27000	0.11418	0.23932	0.16473	
-0.26000	0.06642	0.23063	0.12778	
-0.25000	0.02152	0.07794	0.03600	
-0.24000	0.00521	0.03851	0.00826	
-0.23000	0.00283	0.01799	0.00445	
-0.22000	0.00236	0.00992	0.00298	
-0.21000	0.00352	0.01132	0.00194	
-0.20000	0.00316	0.01071	0.00328	
-0.19000	0.00269	0.01964	0.00567	
-0.18000	0.05106	0.13725	0.08089	
-0.17000	0.16888	0.33952	0.24776	
-0.16000	0.19283	0.38572	0.26010	
-0.15000	0.16854	0.36470	0.23059	
-0.14000	0.15703	0.32370	0.22290	
-0.13000	0.08028	0.29948	0.15574	
-0.12000	0.12888	0.28066	0.18398	
-0.11000	0.17075	0.32359	0.22101	
-0.10000	0.08044	0.26276	0.13630	
-0.09000	0.10745	0.31456	0.18669	
-0.08000	0.08891	0.25708	0.16290	
-0.07000	0.09273	0.24035	0.12433	
-0.06000	0.11034	0.24600	0.13551	
-0.05000	0.10538	0.24977	0.13269	
-0.04000	0.10701	0.25743	0.16387	
-0.03000	0.12035	0.25620	0.16422	
-0.02000	0.06301	0.24659	0.12308	
-0.01000	0.01935	0.08633	0.03555	
